Script,Type,Message,Item
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/expected-colon
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/expected-constant
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/expected-equal-javascript
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/expected-hexadecimal-digit
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/expected-identifier-javascript
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/expected-identifier-string-or-number
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/expected-left-curly-brace
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/expected-left-parenthesis-javascript
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/expected-minus
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/expected-right-curly-brace
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/expected-right-parenthesis-in-regular-expression-javascript
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/expected-right-parenthesis-javascript
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/expected-right-square-bracket-in-regular-expression-javascript
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/expected-right-square-bracket
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/expected-semicolon
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/expected-var
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/expected-while
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/false-windows-script-technologies
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/function-does-not-have-a-valid-prototype-object
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/function-expected
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/illegal-assignment-javascript
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/invalid-character-javascript
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/invalid-number
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/invalid-range-in-character-set-javascript
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/invalid-replacer-argument
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/javascript-object-expected
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/label-not-found
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/label-redefined
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/number-expected
